title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,ISBN_13
Big Data in Healthcare: Statistical Analysis of the Electronic Health Record (1), Farrokh Alemi,90.0,553,4.6,6.0,0.78,0.22,0.0,0.0,0.0,"AUPHA/HAP Book; 1st edition (February 18, 2020)", 
Data Analysis for Database Design, David Howe,28.45,336,4.8,9.0,0.78,0.22,0.0,0.0,0.0,"Butterworth-Heinemann; 3rd edition (May 31, 2001)",
Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health),,47.62,483,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Springer; 2nd ed. 2021 edition (March 25, 2022)", 
Data Analysis for the Life Sciences with R," Rafael A. Irizarry,  and , Michael I. Love",47.68,376,4.3,15.0,0.77,0.11,0.11,0.0,0.0,"Chapman and Hall/CRC; 1st edition (July 25, 2016)", 
"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach (Methodology in the Social Sciences)",,58.41,732,4.6,25.0,0.72,0.17,0.05,0.05,0.0,"The Guilford Press; Third edition (January 24, 2022)",978-1462549030
Data Smart: Using Data Science to Transform Information into Insight, John W. Foreman,21.21,432,4.5,347.0,0.7,0.16,0.08,0.04,0.02,"Wiley; 1st edition (November 12, 2013)",978-1118661468
Exploratory Data Analysis, John Tukey,99.99,712,4.6,23.0,0.72,0.18,0.07,0.03,0.0,"Pearson; 1st edition (January 1, 1977)",978-0201076165
Business Analytics: Data Analysis & Decision Making - Standalone book," S. Christian Albright,  and , Wayne L. Winston",93.15,984,4.4,174.0,0.72,0.14,0.05,0.03,0.07,"Cengage Learning; 6th edition (April 27, 2016)",978-1305947542
Network Security Through Data Analysis: From Data to Action, Michael Collins,9.02,428,4.5,17.0,0.72,0.14,0.05,0.09,0.0,"O'Reilly Media; 2nd edition (October 17, 2017)", 
Python for Data Analysis: Learn the Principles of Data Analysis and Raise Your Programming Iq. Improve Your Machine Learning Experience and Become a Skilled Programmer by Learning 10+ Coding Secrets, Robert Campbell,33.99,74,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"Robert Campbell (October 16, 2022)",978-1803064420
"Data Analysis & Probability: A Quickstudy Laminated Reference Guide (Math Fundamentals, 4)"," Peggy Warren, Susan Wright, et al.",6.11,6,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Quickstudy; Updated edition (November 1, 2021)",978-1423247272
"Excel 2022: Learn From Scratch with the Most Update Guide on Microsoft Excel Plus Step by Step Tutorial, Features and Formulas. 7 Minutes Crash Course Included", Robert Johnson,19.24,161,4.8,293.0,0.93,0.03,0.01,0.03,0.0,"Independently published (October 6, 2022)",979-8356241734
Learn Selenium: Build data-driven test frameworks for mobile and web applications with Selenium Web Driver 3," Unmesh Gundecha,  and , Carl Cocchiaro",49.99,536,4.4,13.0,0.5,0.39,0.11,0.0,0.0,"Packt Publishing (July 18, 2019)",978-1838983048
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise, Estelle Scifo,44.99,510,4.1,23.0,0.48,0.28,0.17,0.07,0.0,"Packt Publishing (August 21, 2020)",978-1839212611
Recovering Black Storytelling in Qualitative Research (Futures of Data Analysis in Qualitative Research),,37.8,192,4.6,29.0,0.84,0.08,0.08,0.0,0.0,"Routledge; 1st edition (November 19, 2021)",978-0367747336
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook, PROGRAMMING LANGUAGES ACADEMY,17.95,205,4.4,292.0,0.63,0.22,0.07,0.03,0.04,"Independently published (January 2, 2020)",978-1654414016
"Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy, ArcGIS API for Python, Notebooks, and pandas"," Silas Toms, Bill Parker, et al.",59.84,586,4.7,51.0,0.83,0.1,0.04,0.03,0.0,"Packt Publishing (April 29, 2022)",978-1803241661
Field Guide to Optomechanical Design and Analysis (Spie Field Guides)," Burge, James H., et al.",42.0,168,4.4,7.0,0.6,0.19,0.21,0.0,0.0,"SPIE--The International Society for Optical Engineering; Spi edition (August 1, 2012)",978-0819491619
Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python," Marc Wintjen,  and , Andrew Vlahutin",34.99,322,4.0,33.0,0.56,0.16,0.07,0.1,0.11,"Packt Publishing (June 19, 2020)",978-1838826031
Introduction to Statistics and Data Analysis," Roxy Peck, Chris Olsen, et al.",15.1,944,4.5,53.0,0.69,0.14,0.12,0.03,0.01,"Brooks Cole; 5th edition (January 1, 2015)",978-1305267244
Regression Analysis with R: Design and develop statistical nodes to identify unique relationships within data at scale, Giuseppe Ciaburro,41.99,422,4.4,12.0,0.57,0.3,0.13,0.0,0.0,"Packt Publishing (January 31, 2018)", 
Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy, Simon Asplen-Taylor,34.99,328,4.6,3.0,0.62,0.38,0.0,0.0,0.0,"Kogan Page; 1st edition (June 28, 2022)",978-1398606050
